第1道答案: 9’2051/4181
第99道答案: 170543/3025120
第100道答案: 408844957/514882270
第101道答案: 1’40269377/84929520
第102道答案: 50’411889/1148444
第103道答案: 3’61229/144474
第104道答案: 718/8957
第105道答案: 3’69482/145199
第106道答案: 1’326147235/975436904
第107道答案: 1’54317/356751
第108道答案: 3’18089/19197
第109道答案: 2’29498/69231
第110道答案: 2707339/3832575
第111道答案: 8’9041/22386
第112道答案: 2’78374147/381503440
第113道答案: 3’193720969/200579520
第114道答案: 1’161723207/1799508144
第115道答案: 1’178127/322608
第116道答案: 466681/1476902
第117道答案: 28328303/511025952
第118道答案: 90343/183717
第119道答案: 5’235/294
第120道答案: 3006/17917
第121道答案: 5’3967385/4499264
第122道答案: 13’807883/1516644
第123道答案: 1’312574/860925
第124道答案: 6287855/69417083
第125道答案: 3’683/3894
第126道答案: 16’1371/13156
第127道答案: 6’1584719/11663896
第128道答案: 6021/11456
第129道答案: 3968/5727
第130道答案: 15’17146697/20145792
第131道答案: 351073/351204
第132道答案: 37089/55610
第133道答案: 182765601/620494733
第134道答案: 2’40918/127263
第135道答案: 31911491/45831310
第136道答案: 5123/7638
第137道答案: 2’5751583/15158493
第138道答案: 78131/93496
第139道答案: 697884/1203545
第140道答案: 497845595/843566264
第141道答案: 15’2215/2344
第142道答案: 4’110969/129400
第143道答案: 37555320/62204299
第144道答案: 13’17197583/19553653
第145道答案: 217605363/1721174141
第146道答案: 1’125/182
第147道答案: 1’38891/87725
第148道答案: 2’257107/2936004
第149道答案: 1’5845915/10502646
第150道答案: 1536305837/1769848280
第151道答案: 46’2067838/2558375
第152道答案: 18323/118440
第153道答案: 5154299/32545480
第154道答案: 6530/6897
第155道答案: 931/168740
第156道答案: 2’81937/330264
第157道答案: 1’38953/46863
第158道答案: 2575825/19352154
第159道答案: 197911177/289896450
第160道答案: 4’1161/2300
第161道答案: 2639/12788
第162道答案: 312/5143
第163道答案: 93356179/187717184
第164道答案: 338708377/551933544
第165道答案: 2751865/40994928
第166道答案: 1’2361575/27900784
第167道答案: 5099695/33771332
第168道答案: 2’29663/30429
第169道答案: 41237495/78597039
第170道答案: 13096/120099
第171道答案: 1’39942233/241901712
第172道答案: 6’4979/18966
第173道答案: 2’3993953/62652840
第174道答案: 2064/211225
第175道答案: 230587204/254160221
第176道答案: 18’1638201/3707795
第177道答案: 2’86919141/155435012
第178道答案: 6’465453/1403122
第179道答案: 459456679/1373804340
第180道答案: 2’13334296/43568063
第181道答案: 755293/8390164
第182道答案: 71442781/86918800
第183道答案: 1401251/2106123
第184道答案: 4’17673482/275180107
第185道答案: 6’43082731/60913380
第186道答案: 6’70919/124962
第187道答案: 1’5977/22007
第188道答案: 16’4072/5795
第189道答案: 11’44507/78921
第190道答案: 4’5429125/6817257
第191道答案: 47196/60175
第192道答案: 3’694327/1410255
第193道答案: 2’4720838/8120255
第194道答案: 7’7300999/40486985
第195道答案: 4’32325329/137014656
第196道答案: 5289709/6005216
第197道答案: 5635/89903
第198道答案: 71’174201/196664
第199道答案: 835677301/1719894796
第200道答案: 2’254/273
第201道答案: 6486801/202406848
第202道答案: 737889531/1826794253
第203道答案: 22341/26441
第204道答案: 65’685/2121
第205道答案: 299115/1828528
第206道答案: 44’481429/2820552
第207道答案: 97’19767/21895
第208道答案: 4’177580595/180490716
第209道答案: 37’26185/78859
第210道答案: 21550309/982813000
第211道答案: 1’87899/450512
第212道答案: 4’40755289/174254416
第213道答案: 546480/677293
第214道答案: 2’1629409/122168838
第215道答案: 2’433372616/719302189
第216道答案: 4281/9230
第217道答案: 1’292531/2380050
第218道答案: 11’180631/488889
第219道答案: 4’1649057/18089428
第220道答案: 79011953/752514864
第221道答案: 1266/4661
第222道答案: 119646/295855
第223道答案: 442655458/730458503
第224道答案: 1’36909981/85266322
第225道答案: 1’51776277/244347400
第226道答案: 217’122369/178935
第227道答案: 18356625/23394866
第228道答案: 4’291794581/298589872
第229道答案: 119295/647023
第230道答案: 7’3737447/5527245
第231道答案: 5’341249/345920
第232道答案: 25308/286145
第233道答案: 1’15007/26441
第234道答案: 1376/4505
第235道答案: 1’5614531/9394812
第236道答案: 3’3483/6994
第237道答案: 1’3935/10854
第238道答案: 431428/561279
第239道答案: 11’8549/26350
第240道答案: 2’46804/213601
第241道答案: 21538921/31811341
第242道答案: 7’12487705/18825932
第243道答案: 1’268379/203069048
第244道答案: 14’5578177/11268448
第245道答案: 781/3792
第246道答案: 1’3259953/6128006
第247道答案: 1’51488/330825
第248道答案: 455019/1023730
第249道答案: 1’15055/214718
第250道答案: 426243/502660
第251道答案: 4’89/880
第252道答案: 2’74991/117070
第253道答案: 4’2085/2192
第254道答案: 112147/184671
第255道答案: 5’2749/42032
第256道答案: 56’139/970
第257道答案: 31’21584/29025
第258道答案: 222972508/259279259
第259道答案: 3’15631531/547313264
第260道答案: 76311/130226
第261道答案: 94394503/455421450
第262道答案: 1’347/3953
第263道答案: 1’5860510/6386521
第264道答案: 1’332945/366919
第265道答案: 1’386805/3163552
第266道答案: 69074757/89661130
第267道答案: 2062/2349
第268道答案: 5’549/13039
第269道答案: 226732631/336722250
第270道答案: 1670050/7643797
第271道答案: 10284519/13131200
第272道答案: 2’24335879/643973850
第273道答案: 82069/110564
第274道答案: 1’15/28
第275道答案: 1’71783/142932
第276道答案: 1’82849469/257923392
第277道答案: 3’345216/10962205
第278道答案: 459093/1732016
第279道答案: 2’1336375/7155668
第280道答案: 2’8387/42630
第281道答案: 1’2150839/48525488
第282道答案: 2’39281363/43453371
第283道答案: 1312823/2446613
第284道答案: 2’2233046/3550293
第285道答案: 1’1022764/1761865
第286道答案: 551’185/6077
第287道答案: 1168391/2605797
第288道答案: 89801/107646
第289道答案: 17’3068363/5889240
第290道答案: 2603/4756
第291道答案: 115413/632626
第292道答案: 17054831/41756778
第293道答案: 2’51809713/169697934
第294道答案: 424560/2551843
第295道答案: 2388048/4322395
第296道答案: 1616429/22768935
第297道答案: 9266243/15421542
第298道答案: 1’281/1312
第299道答案: 107288/136045
第300道答案: 186’68807/1179520
第301道答案: 1’320428496/523377393
第302道答案: 33/140336
第303道答案: 1’404711909/415315696
第304道答案: 1’6779/13502
第305道答案: 1433719007/1801303794
第306道答案: 1’21799/22896
第307道答案: 3’40081/110240
第308道答案: 1’7657/23733
第309道答案: 2299428/25417165
第310道答案: 5’11436936/23922613
第311道答案: 47’685774/724129
第312道答案: 11121715/13680147
第313道答案: 40712/53911
第314道答案: 7’14491/34080
第315道答案: 1’32873/5327040
第316道答案: 1’233957/2273808
第317道答案: 1’30992/331905
第318道答案: 6’8137063/172137796
第319道答案: 5136/8159
第320道答案: 1’21064/22375
第321道答案: 1’86668257/882592384
第322道答案: 7’159439/4163591
第323道答案: 210829/265636
第324道答案: 123123/399040
第325道答案: 3’53433017/64563148
第326道答案: 40063/43848
第327道答案: 226499/38728350
第328道答案: 1’31047839/224956421
第329道答案: 2’20663/95634
第330道答案: 4’28368/32545
第331道答案: 53044/80155
第332道答案: 1061/191819
第333道答案: 2’13193/30873
第334道答案: 1’92523007/153870395
第335道答案: 588003023/884191243
第336道答案: 3’29515/33984
第337道答案: 445165155/1791405376
第338道答案: 5’44413/63635
第339道答案: 3’28789/44290
第340道答案: 10’28051/39935
第341道答案: 3’3985009/58447796
第342道答案: 1’617/2624
第343道答案: 389648/1133275
第344道答案: 2’99077323/124326040
第345道答案: 4’1919/24964
第346道答案: 6’444161/501120
第347道答案: 1’129053/287170
第348道答案: 1’4595993/8601000
第349道答案: 27’4877/5175
第350道答案: 1’83113/117595
第351道答案: 19239296/305600757
第352道答案: 1’87316556/286706617
第353道答案: 218213923/448848593
第354道答案: 1’7420955/9020193
第355道答案: 1’34553/98384
第356道答案: 2’314116/7170331
第357道答案: 25893/85852
第358道答案: 6’1306/16401
第359道答案: 6’1383/3220
第360道答案: 1949094/2904823
第361道答案: 7’2279/5933
第362道答案: 10’105229/274752
第363道答案: 182025729/204408110
第364道答案: 6’75567/1921975
第365道答案: 316899244/352857271
第366道答案: 279910/578613
第367道答案: 3’362333/447392
第368道答案: 122321643/205123288
第369道答案: 36456/54035
第370道答案: 2’98461541/469755181
第371道答案: 9’75/106
第372道答案: 32’1015624/1398885
第373道答案: 7327/10222
第374道答案: 6’36776/68269
第375道答案: 9’31676/41665
第376道答案: 2’59811517/213221104
第377道答案: 1’24683123/181220842
第378道答案: 405’119120/499799
第379道答案: 4’57507/1818430
第380道答案: 2’271/1140
第381道答案: 19’38067/43747
第382道答案: 14’247/544
第383道答案: 1’73785/96577
第384道答案: 2’3922/4641
第385道答案: 5’111229/1153416
第386道答案: 37’21/44
第387道答案: 3’6329/69426
第388道答案: 6’110079859/316099024
第389道答案: 3’83944573/306671596
第390道答案: 50’257941/3264274
第391道答案: 111819027/273303814
第392道答案: 26’12394/31577
第393道答案: 488050549/1367762992
第394道答案: 1’143451503/491256024
第395道答案: 262378/1304901
第396道答案: 1’9986/328187
第397道答案: 16922779/42601276
第398道答案: 1’142004069/538056224
第399道答案: 632946/799985
第400道答案: 6351/18920
第401道答案: 911628/17299975
第402道答案: 1’12288034/30312275
第403道答案: 673613041/1401869511
第404道答案: 12’11594442/74368261
第405道答案: 1’4192927/4495750
第406道答案: 122503/204838
第407道答案: 18’191187/2055040
第408道答案: 9/650
第409道答案: 3’2746063/5168790
第410道答案: 9’1006001/6032586
第411道答案: 12’31519/73920
第412道答案: 1’291616697/839805039
第413道答案: 1’2113/206037
第414道答案: 3’3066167/4230110
第415道答案: 13’1772/4719
第416道答案: 1’5667817/5670060
第417道答案: 27768/33041
第418道答案: 784930579/1238687856
第419道答案: 21476/27621
第420道答案: 14529/71371
第421道答案: 36660/223559
第422道答案: 367380933/1316392450
第423道答案: 14’17161/198970
第424道答案: 7’1579/1878
第425道答案: 1’35012/98723
第426道答案: 1’4548719/7716280
第427道答案: 1’46/2229
第428道答案: 1’85325091/94722683
第429道答案: 1618577/4454568
第430道答案: 41899/315880
第431道答案: 3’311/9570
第432道答案: 1’15751451/61674352
第433道答案: 6’120473/4355712
第434道答案: 14’22/67
第435道答案: 2’4013/6740
第436道答案: 3’3688987/29107444
第437道答案: 320000/1498861
第438道答案: 152554/153321
第439道答案: 1801751/3262370
第440道答案: 1’54065809/171740879
第441道答案: 1603720739/2120153985
第442道答案: 2’115739/274668
第443道答案: 102028336/205400457
第444道答案: 1’1666135/9809792
第445道答案: 42959935/101878308
第446道答案: 4’958792/1023803
第447道答案: 90019/1544830
第448道答案: 772/2955
第449道答案: 57229/428460
第450道答案: 1’16369/131312
第451道答案: 2’32886053/233551178
第452道答案: 1’26725293/577255970
第453道答案: 1’893561/3552574
第454道答案: 2489/19943
第455道答案: 1’32869693/62999937
第456道答案: 1’24523/102384
第457道答案: 272617/21796080
第458道答案: 5’15817153/22503957
第459道答案: 482’338/921
第460道答案: 2’42828/67895
第461道答案: 3’390574819/528456425
第462道答案: 3241/82728
第463道答案: 1156639/1477336
第464道答案: 7’685706/726259
第465道答案: 51’338003/922200
第466道答案: 1’165391/912153
第467道答案: 3933/4325
第468道答案: 11’64985/131721
第469道答案: 27961571/46247760
第470道答案: 4210058/48255417
第471道答案: 1’11625471/12756956
第472道答案: 1’245347/1060984
第473道答案: 1’368617335/551264309
第474道答案: 1211/1248
第475道答案: 22’219/455
第476道答案: 181488277/354488907
第477道答案: 117757/187680
第478道答案: 97709/246568
第479道答案: 19’10841/17985
第480道答案: 8’3047653/43916466
第481道答案: 515567446/535206165
第482道答案: 1’63737/92320
第483道答案: 1’18449025/69127228
第484道答案: 288’552280/585513
第485道答案: 1’2172620/295391313
第486道答案: 2’35047/50609
第487道答案: 79685/145314
第488道答案: 7257/43127
第489道答案: 76925/123464
第490道答案: 8’25153591/54914457
第491道答案: 25868546/54149193
第492道答案: 1’139381342/472180353
第493道答案: 2’10752/13949
第494道答案: 9’272345/4611516
第495道答案: 47’61/237
第496道答案: 231734/300487
第497道答案: 36698/175375
第498道答案: 47935/68228
第499道答案: 5’16269/20824
第500道答案: 91095/138824
第501道答案: 43’2243095/9715417
第502道答案: 3’16231/20910
第503道答案: 2’11869955/54061884
第504道答案: 51’321/446
第505道答案: 1299065247/1360180372
第506道答案: 6’17265/31691
第507道答案: 2’75491386/123036459
第508道答案: 1051375/2259642
第509道答案: 1093920/4611403
第510道答案: 26137/70356
第511道答案: 16’1475593/1590875
第512道答案: 42351/59714
第513道答案: 1886725/3852972
第514道答案: 2’31661/268690
第515道答案: 1’7243/29274
第516道答案: 15’189613/202581
第517道答案: 37401/62282
第518道答案: 345686858/700382657
第519道答案: 2’101/1632
第520道答案: 876857479/1407605908
第521道答案: 7902708/12686725
第522道答案: 6’8612677/31937360
第523道答案: 3’1765/64521
第524道答案: 87754/611757
第525道答案: 2514/1750507
第526道答案: 2’1703497/2821824
第527道答案: 4767180/73030103
第528道答案: 2’84023/112632
第529道答案: 5’531929/830427
第530道答案: 19’58/59
第531道答案: 1’380/3197
第532道答案: 381340507/474941120
第533道答案: 6’6838/8701
第534道答案: 102926753/174487660
第535道答案: 1’561083/812084
第536道答案: 1’84270847/216621888
第537道答案: 949’251/1566
第538道答案: 7’66775/102887
第539道答案: 688227849/788076080
第540道答案: 4’253145/327474
第541道答案: 11’26030/36049
第542道答案: 3’7219891/18681510
第543道答案: 24’1645454/2462229
第544道答案: 39659/276887
第545道答案: 3’31427257/32957544
第546道答案: 1’1223/15675
第547道答案: 4’5710/6771
第548道答案: 145428975/526854181
第549道答案: 2’466501/1071816
第550道答案: 45773/156479
第551道答案: 1’97/740
第552道答案: 257610752/492384867
第553道答案: 1’71/1320
第554道答案: 9673969/16414002
第555道答案: 174681/387464
第556道答案: 419514366/1008337607
第557道答案: 2’17989/120978
第558道答案: 96403/343549
第559道答案: 174’632/12507
第560道答案: 323704/414931
第561道答案: 1’6433/62100
第562道答案: 2’6983/39849
第563道答案: 68515/101556
第564道答案: 3348000/5243497
第565道答案: 3’1394567/2684416
第566道答案: 3’210740083/237424856
第567道答案: 24’67/10212
第568道答案: 61267311/340552648
第569道答案: 5’423817/1138830
第570道答案: 94566847/99380597
第571道答案: 2’33733541/54726435
第572道答案: 4’61207571/203953504
第573道答案: 21’487542/494173
第574道答案: 2’40259/60490
第575道答案: 52136/432571
第576道答案: 1’713/1690
第577道答案: 1’47063988/110364553
第578道答案: 50694/3111823
第579道答案: 17729/100182
第580道答案: 7’731/2596
第581道答案: 4’1100703/3043904
第582道答案: 17388/36259
第583道答案: 1’19461/32264
第584道答案: 2954853/6079658
第585道答案: 2’454978542/605810725
第586道答案: 34’425/1976
第587道答案: 26’1514041/1578057
第588道答案: 1’4545249/57773726
第589道答案: 306704809/1031590820
第590道答案: 2’1336036/9999143
第591道答案: 1’253286/269767
第592道答案: 1901309/14583317
第593道答案: 2’3337357/6494775
第594道答案: 15’1459563/3424304
第595道答案: 3’45689011/115321114
第596道答案: 19’105641/164136
第597道答案: 3’1119347/1274592
第598道答案: 2’32392/271859
第599道答案: 3’10163743/10659825
第600道答案: 2’39998028/218805205
第601道答案: 2’590/5319
第602道答案: 35505452/60433953
第603道答案: 3’971543/1160775
第604道答案: 870011141/2069234202
第605道答案: 5’106887089/125084337
第606道答案: 2’94/177
第607道答案: 3’21969/23323
第608道答案: 10’14368/16131
第609道答案: 19’2199773/2231502
第610道答案: 3’883/888
第611道答案: 1’42937211/80083157
第612道答案: 4’818589/6133600
第613道答案: 6’15711/23188
第614道答案: 17097/81200
第615道答案: 1’511/880
第616道答案: 876733811/1843689906
第617道答案: 40’2199/3416
第618道答案: 1025/4159782
第619道答案: 270453151/856598080
第620道答案: 14’56810183/105046906
第621道答案: 2’3846671/8348643
第622道答案: 1’309839/1651210
第623道答案: 2’55626/61465
第624道答案: 7’48929/57375
第625道答案: 1’1628069/6071296
第626道答案: 2’43226/46827
第627道答案: 2303/13365
第628道答案: 1096198285/1099693417
第629道答案: 15’4887793/8847300
第630道答案: 3’143/155
第631道答案: 232925/318658
第632道答案: 1424383813/1543742908
第633道答案: 4’5440493/6021960
第634道答案: 6228958/23056901
第635道答案: 163’232/599
第636道答案: 165838/387469
第637道答案: 14’244/399
第638道答案: 1’77899207/135914801
第639道答案: 175996019/199761160
第640道答案: 1’13950308/15226575
第641道答案: 614591/2291520
第642道答案: 2059531663/2138178276
第643道答案: 1’2112/134225
第644道答案: 16/4263
第645道答案: 9’5371/46373
第646道答案: 12’5137521/5901616
第647道答案: 2’10380/14003
第648道答案: 17’1624705/1868232
第649道答案: 3’71388/85565
第650道答案: 1’28274617/87667110
第651道答案: 61565/98298
第652道答案: 398753605/899654546
第653道答案: 159’93805/134186
第654道答案: 487111205/523167656
第655道答案: 18218/77775
第656道答案: 614933539/648049080
第657道答案: 2’317731757/373550587
第658道答案: 14588/49907
第659道答案: 2’11036/414207
第660道答案: 123787605/332184736
第661道答案: 3’22740603/65209976
第662道答案: 16184/138645
第663道答案: 15900644/17998459
第664道答案: 386279/539280
第665道答案: 1’3289/7239
第666道答案: 19’1665488/1986297
第667道答案: 160917/594716
第668道答案: 3451/340600
第669道答案: 15’2309/4545
第670道答案: 1’16446/43229
第671道答案: 1’51253/267767
第672道答案: 165138048/217569569
第673道答案: 49733896/78165807
第674道答案: 43343560/74410949
第675道答案: 4’1127/3520
第676道答案: 1’1026/669635
第677道答案: 35935900/129238097
第678道答案: 2’148354/237655
第679道答案: 74’142988/149193
第680道答案: 23023/25842
第681道答案: 62439/352660
第682道答案: 6’29340/29341
第683道答案: 952’4019/4480
第684道答案: 3’1847/4050
第685道答案: 7’1937737/2646564
第686道答案: 2’74059/140725
第687道答案: 225/330379
第688道答案: 112’136481/622244
第689道答案: 43605/203852
第690道答案: 1267301/2365224
第691道答案: 4’1519/46374
第692道答案: 66789684/78180445
第693道答案: 4’71948288/103133771
第694道答案: 1’40977386/923506691
第695道答案: 1’113126315/123543712
第696道答案: 3’173249425/343738832
第697道答案: 4766254/1988435215
第698道答案: 512074679/1071537171
第699道答案: 372596/20274843
第700道答案: 2585/20664
第701道答案: 13805277/20876128
第702道答案: 1’771/2815
第703道答案: 4543/37118
第704道答案: 705/11024
第705道答案: 1814507806/2011974939
第706道答案: 334225/387192
第707道答案: 1’40247/164671
第708道答案: 45012/117895
第709道答案: 23’689/1541
第710道答案: 2’173137/199796
第711道答案: 460439285/1782926586
第712道答案: 2032/9715
第713道答案: 4’1242713/2802424
第714道答案: 555636369/615124760
第715道答案: 2’172718479/548347164
第716道答案: 6’39343/259560
第717道答案: 1264/104463
第718道答案: 19’449/1057
第719道答案: 5’844/1003
第720道答案: 476’18/35
第721道答案: 7987460/14087061
第722道答案: 485806005/970341799
第723道答案: 134401/9888480
第724道答案: 120’529103/716874
第725道答案: 18’3729/24679
第726道答案: 7’2775929/2865555
第727道答案: 4’8390067/13209029
第728道答案: 58’1189/3250
第729道答案: 49408/208539
第730道答案: 1’146353897/228185100
第731道答案: 1’28702/308823
第732道答案: 22189/47753
第733道答案: 13’14511/36158
第734道答案: 22’8635/10811
第735道答案: 2’1146539/18515584
第736道答案: 1’1421087/38291764
第737道答案: 1717/1920
第738道答案: 4’81693/89950
第739道答案: 8’354452/434775
第740道答案: 4’1591335/72166528
第741道答案: 1’1691/2020
第742道答案: 10’382/845
第743道答案: 1435087147/1464271372
第744道答案: 2’3378339/7626220
第745道答案: 1’322171945/417387124
第746道答案: 23’120161/124091
第747道答案: 7’486121/3005875
第748道答案: 415602/539453
第749道答案: 13’1027/9430
第750道答案: 1’96828/310343
第751道答案: 835/24717
第752道答案: 3’143/1743
第753道答案: 1415/19344
第754道答案: 4’11405/38419
第755道答案: 6’1203206/5933689
第756道答案: 57981/352438
第757道答案: 1’5365/72474
第758道答案: 1’130664/207273
第759道答案: 17’330/763
第760道答案: 5222917/5562395
第761道答案: 4’43193/97146
第762道答案: 40’8333/75538
第763道答案: 3’911023/1954248
第764道答案: 14’4187057/4257548
第765道答案: 100548/128425
第766道答案: 165473/387595
第767道答案: 1’358660/424683
第768道答案: 1’286762365/501217556
第769道答案: 14’20315/28608
第770道答案: 5505192/645095873
第771道答案: 1’9017/10783
第772道答案: 5489789/32378623
第773道答案: 26’120736/174051
第774道答案: 27’4362482/4375929
第775道答案: 3’1951967/12589434
第776道答案: 13819091/15569690
第777道答案: 1’283636/1480275
第778道答案: 3’52830473/83074365
第779道答案: 10’163/481
第780道答案: 5’461269/650250
第781道答案: 1’174158098/674889963
第782道答案: 3’2431365/7830472
第783道答案: 3’61667/87006
第784道答案: 50032/52487
第785道答案: 8151/21160
第786道答案: 434828867/1358403016
第787道答案: 3’9309/15251
第788道答案: 1’76767467/379590081
第789道答案: 7’12793/25920
第790道答案: 1’666081/7858967
第791道答案: 3’5273/38985
第792道答案: 5324791/160720560
第793道答案: 243381440/401838963
第794道答案: 3’9761/18603
第795道答案: 17821/94939
第796道答案: 67003667/103775246
第797道答案: 11’2557/4158
第798道答案: 3’1686821/5953808
第799道答案: 96826243/367733700
第800道答案: 3’5399761/10202337
第801道答案: 31288457/99279180
第802道答案: 2’92622/193415
第803道答案: 47’1712/1771
第804道答案: 11’31417817/45798283
第805道答案: 29934500/247398323
第806道答案: 25601464/440860439
第807道答案: 2538/4849
第808道答案: 297357996/406133887
第809道答案: 45331460/157858393
第810道答案: 23084/99567
第811道答案: 13’16238/126495
第812道答案: 5618687/26414654
第813道答案: 1’2030/2449
第814道答案: 1’9968956/46664253
第815道答案: 1’139/686
第816道答案: 1173/114224
第817道答案: 12’13/155
第818道答案: 11’41161/79165
第819道答案: 3’8240847/14935291
第820道答案: 3’666719/14070331
第821道答案: 636265/15625674
第822道答案: 1’4196263/7011000
第823道答案: 51’254/319
第824道答案: 2’30051/161975
第825道答案: 1’16289/40252
第826道答案: 75391883/351870264
第827道答案: 3’13002736/66550541
第828道答案: 2’372551/432796
第829道答案: 1645/197241
第830道答案: 1’5363797/6338200
第831道答案: 3280/5037
第832道答案: 572083537/2010715110
第833道答案: 4’48166/118427
第834道答案: 12765/172832
第835道答案: 1’161791348/166561615
第836道答案: 7743/44720
第837道答案: 3598015/20349504
第838道答案: 336800/755209
第839道答案: 663/10873
第840道答案: 98533/100076
第841道答案: 1’434299/448229
第842道答案: 2’8336/11865
第843道答案: 23871/46996
第844道答案: 4’3538/7085
第845道答案: 3’84560989/670525152
第846道答案: 1’3039/26146
第847道答案: 3’399/1195
第848道答案: 8029/17700
第849道答案: 35’262473/453530
第850道答案: 165’426577/504273
第851道答案: 53612724/358861177
第852道答案: 4’339562/1195453
第853道答案: 1’46326307/129952148
第854道答案: 60505/98637
第855道答案: 1’131018/133849
第856道答案: 424879/4847718
第857道答案: 11’138127/487305
第858道答案: 7’93/266
第859道答案: 2’12119/19740
第860道答案: 43’557/4650
第861道答案: 4’3323/8085
第862道答案: 2’163/84390
第863道答案: 2’904073/940540
第864道答案: 3’136480471/141852536
第865道答案: 101258/193991
第866道答案: 2’1758/5369
第867道答案: 6’47289/64051
第868道答案: 956569/1225551
第869道答案: 2065767693/2106979658
第870道答案: 5’2009945/8481467
第871道答案: 1’3187/22977
第872道答案: 81297/219820
第873道答案: 1’197110141/749646051
第874道答案: 97755/195794
第875道答案: 5’16589/25398
第876道答案: 278300/455507
第877道答案: 69/1105
第878道答案: 1’37274/115801
第879道答案: 3’36342923/180653616
第880道答案: 11’11560625/79018723
第881道答案: 76’731869/745920
第882道答案: 2087302/17413925
第883道答案: 4’39431/77748
第884道答案: 3615439/10769808
第885道答案: 1’18665/28718
第886道答案: 1’12029/325975
第887道答案: 628826/777655
第888道答案: 3’10149/23870
第889道答案: 4’4060/34681
第890道答案: 803924/9608529
第891道答案: 139981/344442
第892道答案: 23425473/413478296
第893道答案: 215658928/681878201
第894道答案: 2’43159183/158614854
第895道答案: 8’2252247/2401300
第896道答案: 10’7721/97773
第897道答案: 1’9432952/20337581
第898道答案: 439/468
第899道答案: 30’5493663/10617632
第900道答案: 2’15705/27047
第901道答案: 2’23972531/24950952
第902道答案: 221202847/411883362
第903道答案: 397841985/576805738
第904道答案: 1’328009/2466828
第905道答案: 554447/2840576
第906道答案: 253831/25490400
第907道答案: 9’2365901/7092096
第908道答案: 871/119884
第909道答案: 770683/7875120
第910道答案: 40279/126828
第911道答案: 20909498/47857095
第912道答案: 2’937/11356
第913道答案: 7853341/27926675
第914道答案: 3’6388/8791
第915道答案: 3’13663/38199
第916道答案: 682/3367
第917道答案: 16’527/819
第918道答案: 498108/1909559
第919道答案: 4’225258920/454330951
第920道答案: 5129/18096
第921道答案: 1’465492543/565642634
第922道答案: 36539/48723
第923道答案: 1’478111/35568675
第924道答案: 26939/102925
第925道答案: 2’25114/32665
第926道答案: 2’219650317/416366680
第927道答案: 3’17852645/33542313
第928道答案: 1’119523104/142189897
第929道答案: 561791/723930
第930道答案: 49’3945161/5224050
