第1道答案: 2878956/10223345
第188道答案: 1’82748929/260285275
第189道答案: 9’6730/15879
第190道答案: 19’118982/897921
第191道答案: 1’20935/23406
第192道答案: 3’3847/8568
第193道答案: 1199/6273
第194道答案: 4’383/5000
第195道答案: 4’14570/47641
第196道答案: 1976936/19221411
第197道答案: 1’37530085/403860888
第198道答案: 170280/788851
第199道答案: 5’257813/259659
第200道答案: 2’18481603/26498912
第201道答案: 5’13987/59724
第202道答案: 2329791/6931732
第203道答案: 382’75133/329958
第204道答案: 9880/396027
第205道答案: 2’83/405
第206道答案: 784622/877393
第207道答案: 42204481/220410613
第208道答案: 1’77419/329630
第209道答案: 2’1296333/1540064
第210道答案: 1’200734325/707024524
第211道答案: 203543/211302
第212道答案: 346785/454528
第213道答案: 1’35045367/38915314
第214道答案: 2’3857/5207
第215道答案: 208389180/844771939
第216道答案: 12’3848028/10645555
第217道答案: 2’1366277/3828595
第218道答案: 302/785
第219道答案: 5’32345/60164
第220道答案: 63181/329847
第221道答案: 2’39409/491556
第222道答案: 13’63527/155854
第223道答案: 3’27013/36300
第224道答案: 26’1914/6403
第225道答案: 1’18703/70445
第226道答案: 2’1795877/32913720
第227道答案: 43763/212268
第228道答案: 1’194425/332429
第229道答案: 10375556/10724365
第230道答案: 27’2932549/3292575
第231道答案: 128’386/575
第232道答案: 1’71259873/455425004
第233道答案: 2’43/3471
第234道答案: 7’460100/1711377
第235道答案: 1’191485/432076
第236道答案: 1’29363/103494
第237道答案: 11’553067/1225120
第238道答案: 3’2350303/2549040
第239道答案: 1008995/73124856
第240道答案: 1’9404770/15322039
第241道答案: 2’596941041/728266175
第242道答案: 3’1361/5253
第243道答案: 183145754/2040949111
第244道答案: 1013311573/1201312508
第245道答案: 279554876/328805149
第246道答案: 1’209919/608111
第247道答案: 6957/75026
第248道答案: 1’13627/153605
第249道答案: 1’30711/132461
第250道答案: 1’613/2278
第251道答案: 237570303/961439956
第252道答案: 851205373/1107189184
第253道答案: 2’32920/34293
第254道答案: 10’405086/742739
第255道答案: 1’203173/258324
第256道答案: 1’72823/154316
第257道答案: 1’1856539/13150200
第258道答案: 94108233/101415545
第259道答案: 27883291/93154902
第260道答案: 4’7085/9471
第261道答案: 128936/263141
第262道答案: 95025377/140781144
第263道答案: 9’133173/3741881
第264道答案: 41875/262042
第265道答案: 1’8327207/11542410
第266道答案: 121610/134037
第267道答案: 56992/61545
第268道答案: 20873351/29880900
第269道答案: 28453/255450
第270道答案: 1’41677985/474520324
第271道答案: 3’15543212/24632937
第272道答案: 2’50314/54237
第273道答案: 2’56879941/686964798
第274道答案: 10258551/35648227
第275道答案: 9’2099/2470
第276道答案: 533732/2742481
第277道答案: 20895732/103838975
第278道答案: 1’8884/18963
第279道答案: 522465332/1316656731
第280道答案: 194454/642703
第281道答案: 283416959/796323020
第282道答案: 2013/15496
第283道答案: 57293159/230512547
第284道答案: 51713153/53534250
第285道答案: 2’2528039/8258708
第286道答案: 2’124693/364312
第287道答案: 2’13878/42755
第288道答案: 100163/107146
第289道答案: 1’465335/1045856
第290道答案: 23021/26680
第291道答案: 1’1021961/1177561
第292道答案: 37’193/670
第293道答案: 741/1081
第294道答案: 2’13748/122765
第295道答案: 3’5267/31460
第296道答案: 26/27501
第297道答案: 111’3007/10455
第298道答案: 3’20389/36259
第299道答案: 6255/807898
第300道答案: 23’79/4767
第301道答案: 1267/7479
第302道答案: 4’47754019/153667826
第303道答案: 9146219/9336600
第304道答案: 18877/477630
第305道答案: 54819655/71547568
第306道答案: 2’252021/4547360
第307道答案: 1’1179/11809
第308道答案: 2’5458/6399
第309道答案: 7’1383621/2448068
第310道答案: 14’696121/948753
第311道答案: 32’5303/8246
第312道答案: 4’28772/93507
第313道答案: 528736/790167
第314道答案: 6’5158/5187
第315道答案: 1’13592866/23681309
第316道答案: 16564/22473
第317道答案: 451/1015
第318道答案: 9093/23630
第319道答案: 6’1026/2405
第320道答案: 1’66776/144995
第321道答案: 8’24803/67529
第322道答案: 2’2331659/6329088
第323道答案: 1’6170/36503
第324道答案: 92185/120267
第325道答案: 1’512242/619697
第326道答案: 41449/114660
第327道答案: 44’85226/107133
第328道答案: 41’2745429/15385544
第329道答案: 76105/354438
第330道答案: 650/10249
第331道答案: 2’231547/1547056
第332道答案: 17’8061/15380
第333道答案: 2’1448/2681
第334道答案: 1’52561/96408
第335道答案: 4675/56448
第336道答案: 7672/27183
第337道答案: 1453330/4456563
第338道答案: 65’8973403/29638490
第339道答案: 3’1597/2226
第340道答案: 1’224605825/956803017
第341道答案: 307468/447411
第342道答案: 24’493/980
第343道答案: 10825924/20088351
第344道答案: 1’220716765/656560883
第345道答案: 13936/91333
第346道答案: 3920/24467
第347道答案: 781073207/825055304
第348道答案: 164305/241256
第349道答案: 1’16639/126325
第350道答案: 841158565/1069143134
第351道答案: 74089/1007475
第352道答案: 1’4701/8755
第353道答案: 123’897211/1135740
第354道答案: 2’142572/5228639
第355道答案: 450/3589
第356道答案: 1’28937/126581
第357道答案: 3’92493005/94302244
第358道答案: 18’1237/1521
第359道答案: 33916/556635
第360道答案: 22’4912388/13964181
第361道答案: 11687/21791
第362道答案: 3411583/134585793
第363道答案: 45683726/2059027559
第364道答案: 126177/169015
第365道答案: 3’1047/4655
第366道答案: 5’39979/118512
第367道答案: 3’88816/2432435
第368道答案: 1’9829/113726
第369道答案: 2’182961/1179178
第370道答案: 49’157/1017
第371道答案: 1’546994577/869140224
第372道答案: 1’15429/63172
第373道答案: 3’9238532/15238665
第374道答案: 1’998057/1065512
第375道答案: 3’16370500/127458837
第376道答案: 104647/321958
第377道答案: 3’3773/32930
第378道答案: 1’193806795/1060194241
第379道答案: 22324/36391
第380道答案: 2’35142029/40907068
第381道答案: 129659/252850
第382道答案: 3649/12726
第383道答案: 3’54983383/132761940
第384道答案: 1597/1632
第385道答案: 14’1289/1377
第386道答案: 27’1101479/47513223
第387道答案: 4’638/3591
第388道答案: 39’2472119/11551844
第389道答案: 8’623/4176
第390道答案: 8’6647/21978
第391道答案: 34861891/79544115
第392道答案: 4’8151/13727
第393道答案: 8027/12110
第394道答案: 5’20104/29503
第395道答案: 715275/3209704
第396道答案: 22032/76105
第397道答案: 6’1074463/3395490
第398道答案: 6745/45253
第399道答案: 2’1096/2465
第400道答案: 1’23183/40600
第401道答案: 858/6419
第402道答案: 1891795/5784789
第403道答案: 3’2657/3283
第404道答案: 4’414727/781050
第405道答案: 1’210164/1446445
第406道答案: 41’32749/109926
第407道答案: 96801/145690
第408道答案: 2’50/79
第409道答案: 1539792557/2035876312
第410道答案: 2’5080/45101
第411道答案: 11’141743/239476
第412道答案: 2’7625261/36297792
第413道答案: 1460/36539
第414道答案: 7’587861/610870
第415道答案: 279872969/321690072
第416道答案: 1587404079/1731762335
第417道答案: 4800135/10187947
第418道答案: 2757264/4479335
第419道答案: 785325179/844697992
第420道答案: 576/15089
第421道答案: 1’1219399/3191546
第422道答案: 1’4513/30680
第423道答案: 770625/1054438
第424道答案: 1’7325/30144
第425道答案: 413271355/684657606
第426道答案: 1627169/4446035
第427道答案: 1’136297001/330321848
第428道答案: 371565/2515448
第429道答案: 1’917058185/997325114
第430道答案: 7’4363/5280
第431道答案: 4802161/20178689
第432道答案: 51’256597/946608
第433道答案: 267223095/389486078
第434道答案: 2’36423829/58777374
第435道答案: 2’34/99
第436道答案: 1’370699/119707506
第437道答案: 404996659/668430860
第438道答案: 4’88230173/100730682
第439道答案: 1’201514421/307330632
第440道答案: 1390459496/2115150065
第441道答案: 10508589/84787880
第442道答案: 196511/241483
第443道答案: 1’61739/325725
第444道答案: 97980/134899
第445道答案: 461/836
第446道答案: 4’128749/561120
第447道答案: 2’135445/162393
第448道答案: 183/4897
第449道答案: 2’529229809/542783594
第450道答案: 388625543/697640625
第451道答案: 486632843/526084160
第452道答案: 2’13888/75375
第453道答案: 10’1066417/1112670
第454道答案: 10’5070127/50778135
第455道答案: 1’690803/51384885
第456道答案: 29318711/1952857670
第457道答案: 715/10422
第458道答案: 25’760/2379
第459道答案: 2’2259/31088
第460道答案: 8’8451181/11948640
第461道答案: 6’3157166/3351775
第462道答案: 2’20066/32361
第463道答案: 1’110535353/153992250
第464道答案: 1’146520785/1979422302
第465道答案: 1’1116131/2194759
第466道答案: 5069563/6887062
第467道答案: 10465/56163
第468道答案: 1’150095557/278875720
第469道答案: 1472552/3661281
第470道答案: 1’585313/2389827
第471道答案: 129/440
第472道答案: 1’120590/2403489
第473道答案: 1’52603/263780
第474道答案: 1’34906931/96413290
第475道答案: 409/425
第476道答案: 26’773/1515
第477道答案: 344624/3522285
第478道答案: 2’91012831/148011100
第479道答案: 1’194206/1094275
第480道答案: 841/2170
第481道答案: 6’44538755/185337752
第482道答案: 1’389/1645
第483道答案: 19’4499/4890
第484道答案: 83808/333641
第485道答案: 11’1815226/5060029
第486道答案: 5969159/8618220
第487道答案: 9636/150025
第488道答案: 14’1867333/16505181
第489道答案: 2102848/44877807
第490道答案: 4’10833/25724
第491道答案: 3’61391/1255314
第492道答案: 3’461136/858173
第493道答案: 6’85/386
第494道答案: 1’41928741/118255720
第495道答案: 19776/50629
第496道答案: 30007/110825
第497道答案: 511368/877933
第498道答案: 64821/1425622
第499道答案: 2’9669/9827
第500道答案: 882756/3506675
第501道答案: 656336263/2062183082
第502道答案: 9’9941/596904
第503道答案: 1194844/11121213
第504道答案: 7’17177/17380
第505道答案: 843203171/914148376
第506道答案: 42589/73416
第507道答案: 24769/122472
第508道答案: 516/13013
第509道答案: 235636731/1273696592
第510道答案: 7’137/574
第511道答案: 1’165144997/842273711
第512道答案: 12673/93400
第513道答案: 2’29083/42090
第514道答案: 17’2322247/5279264
第515道答案: 42’4506/5405
第516道答案: 9’4254/5089
第517道答案: 1’41099/57964
第518道答案: 2’12091/19600
第519道答案: 151/384
第520道答案: 51656/69433
第521道答案: 18’13357793/15644000
第522道答案: 2’7241/10680
第523道答案: 1’111202/134469
第524道答案: 1’322681/463430
第525道答案: 4’10583/12358
第526道答案: 1’139649046/453727751
第527道答案: 2’7345391/8626888
第528道答案: 4’17637/26102
第529道答案: 48’100091/363540
第530道答案: 1559053/1920960
第531道答案: 509206519/755934450
第532道答案: 18’102213/224480
第533道答案: 2’4407107/5946600
第534道答案: 6213947/10418576
第535道答案: 7’377475/13506827
第536道答案: 520007/620468
第537道答案: 19’34964325/52392596
第538道答案: 20’91/248
第539道答案: 2’517366/2357495
第540道答案: 1’323238971/950080325
第541道答案: 1’59819/135145
第542道答案: 5’861955/2681031
第543道答案: 2’61707683/150515240
第544道答案: 5’2245/11772
第545道答案: 11703/79135
第546道答案: 4’15139493/87362683
第547道答案: 94284/279733
第548道答案: 2’4964767/226947644
第549道答案: 1’5014171/17096370
第550道答案: 37075/313698
第551道答案: 26’1553/5658
第552道答案: 18’47968129/76332204
第553道答案: 2’251/401
第554道答案: 15563/62484
第555道答案: 898292621/1455645044
第556道答案: 9400/16269
第557道答案: 1’33/115
第558道答案: 1’251/3731
第559道答案: 10’16579/38218
第560道答案: 95361/418552
第561道答案: 168391223/773955318
第562道答案: 76444/138381
第563道答案: 109871/236457
第564道答案: 2’17695/36162
第565道答案: 1’141661/292633
第566道答案: 85’295/438
第567道答案: 2’103198/2196099
第568道答案: 3’186340673/225435100
第569道答案: 382887223/570669770
第570道答案: 33’1117435/1430298
第571道答案: 2’79557/124124
第572道答案: 48944/526635
第573道答案: 1’3598063/52251407
第574道答案: 1’843/1357
第575道答案: 3’10483/13664
第576道答案: 8’620744/900735
第577道答案: 1’1961489/8196691
第578道答案: 5’58084/141643
第579道答案: 4’8281703/10824424
第580道答案: 1133/1830
第581道答案: 94434816/542596729
第582道答案: 1’8063/34989
第583道答案: 222/45425
第584道答案: 8’131051/1473356
第585道答案: 1’9145/16471
第586道答案: 1257372783/1665959540
第587道答案: 34864875/58347926
第588道答案: 3’24074/325183
第589道答案: 3’297781729/448131975
第590道答案: 1’24955911/63508753
第591道答案: 2’10331/38340
第592道答案: 3’18325043/34561475
第593道答案: 59’67387/77131
第594道答案: 40’1514/13731
第595道答案: 26’1067/1803
第596道答案: 3875/22852
第597道答案: 1’2747378/8383237
第598道答案: 1’605637/1177330
第599道答案: 3096125/5305916
第600道答案: 4’13039915/17886258
第601道答案: 77837/309276
第602道答案: 31’387/1141
第603道答案: 7535/37856
第604道答案: 642359500/908752879
第605道答案: 10’83/639
第606道答案: 3’9707/14396
第607道答案: 1’111808991/234109985
第608道答案: 14965/132176
第609道答案: 2’22242729/44208646
第610道答案: 2’66119591/398135044
第611道答案: 0
第612道答案: 414998894/1580192541
第613道答案: 3’1507/1629
第614道答案: 146320/307001
第615道答案: 4’7758689/20744603
第616道答案: 7’296/2133
第617道答案: 7444640/31443511
第618道答案: 38’35956761/53882432
第619道答案: 1’4685669/6614784
第620道答案: 13’76291/172200
第621道答案: 12’571699/1337240
第622道答案: 55945715/86328348
第623道答案: 7’2701/7719
第624道答案: 12464/20793
第625道答案: 1’1461769/7519281
第626道答案: 2’16846667/31264639
第627道答案: 1’32423/80912
第628道答案: 1’2323/48050
第629道答案: 2’2747/6324
第630道答案: 1181557/20575515
第631道答案: 14678/298351
第632道答案: 208434323/214882668
第633道答案: 508501/1647011
第634道答案: 2’3603/8170
第635道答案: 1415/2214
第636道答案: 10’3197/3977
第637道答案: 15947/74841
第638道答案: 6’5272/19941
第639道答案: 6’26319/44036
第640道答案: 1’85656/777875
第641道答案: 11’547433/1418870
第642道答案: 9116063/12558000
第643道答案: 31390669/66513240
第644道答案: 30992/65593
第645道答案: 31643073/55984760
第646道答案: 60087978/87545983
第647道答案: 106735863/118507172
第648道答案: 1’39736978/93229919
第649道答案: 2’692498/2208843
第650道答案: 3’296230/5596893
第651道答案: 94423/95104
第652道答案: 1’4351/99803
第653道答案: 18’11493/19274
第654道答案: 76436/566835
第655道答案: 1’314240541/826788329
第656道答案: 2’2254093/6184490
第657道答案: 1’1640771/2106450
第658道答案: 5211/162526
第659道答案: 3’1441907/1895010
第660道答案: 3’91/123
第661道答案: 6’6463014/17803337
第662道答案: 259973819/2068727882
第663道答案: 21’79/34816
第664道答案: 4’283/960
第665道答案: 269897/299224
第666道答案: 6128/46551
第667道答案: 12’10339/729537
第668道答案: 28947541/50142945
第669道答案: 4’23321203/36532212
第670道答案: 1’2985159/4839896
第671道答案: 108181/127162
第672道答案: 85624151/133188090
第673道答案: 11039663/722154670
第674道答案: 1’124270/175527
第675道答案: 13253/29233
第676道答案: 8’3370/6149
第677道答案: 2’507592813/655154336
第678道答案: 1’169306/203337
第679道答案: 14’4405/5523
第680道答案: 1’5320091/16021680
第681道答案: 121176/158585
第682道答案: 1’1344787/1773097
第683道答案: 1’43071257/834900493
第684道答案: 74590426/202253215
第685道答案: 6’30491/31682
第686道答案: 897544081/948455456
第687道答案: 1’146481558/408061297
第688道答案: 3963593/5287149
第689道答案: 327715517/674647444
第690道答案: 4’152592037/210358560
第691道答案: 4’34756713/42089333
第692道答案: 6’1800197/7000360
第693道答案: 615328148/1060787301
第694道答案: 85859397/106842659
第695道答案: 108667/146331
第696道答案: 647372259/1190276294
第697道答案: 2’18835159/113920386
第698道答案: 85456221/586591196
第699道答案: 341533/352128
第700道答案: 2844775/92412012
第701道答案: 2’23106709/46291664
第702道答案: 6’9631/51959
第703道答案: 127935/396728
第704道答案: 1’40093/48951
第705道答案: 6’636748/846945
第706道答案: 874’1/7
第707道答案: 1572274/3355287
第708道答案: 1’149356309/190404984
第709道答案: 1395953/32303040
第710道答案: 1’673942/3466215
第711道答案: 283631/395199
第712道答案: 1’22272569/130764935
第713道答案: 4’354/1841
第714道答案: 3’786/3071
第715道答案: 1’60751/109855
第716道答案: 4’1414/6255
第717道答案: 2’23433/103360
第718道答案: 10’4717/7995
第719道答案: 8416/15713
第720道答案: 11’347036/349575
第721道答案: 1331378/3015909
第722道答案: 3’423918431/488056992
第723道答案: 833/5002
第724道答案: 11214/51623
第725道答案: 910602/3199967
第726道答案: 2848/29253
第727道答案: 2’9366029/64107771
第728道答案: 11’12326/19623
第729道答案: 1’1077157/1569542
第730道答案: 16559671/76649940
第731道答案: 1’130904/164171
第732道答案: 1’74539043/840764332
第733道答案: 2829/5698
第734道答案: 1’409/2655
第735道答案: 6669/7037
第736道答案: 1976844/14784055
第737道答案: 18887/26567
第738道答案: 3898120/4303803
第739道答案: 124394375/217195952
第740道答案: 19’5845/9607
第741道答案: 195746121/256026386
第742道答案: 264708863/375043239
第743道答案: 227245/344544
第744道答案: 1’5143/36585
第745道答案: 7’278319/1383700
第746道答案: 2’14036/73125
第747道答案: 3537/57800
第748道答案: 11’3252/4399
第749道答案: 431747296/705999121
第750道答案: 1’1/1539
第751道答案: 332427085/2049038116
第752道答案: 2’47/1533
第753道答案: 1’4822/127835
第754道答案: 1’16399/134386
第755道答案: 275346253/290755977
第756道答案: 2’987572/7529067
第757道答案: 472029405/836924408
第758道答案: 2’594530061/677136352
第759道答案: 6180265/6334752
第760道答案: 2110/7059
第761道答案: 100967759/530840375
第762道答案: 193151/67774824
第763道答案: 3565/21864
第764道答案: 157131/282952
第765道答案: 5’104767/149068
第766道答案: 1041615/35009912
第767道答案: 243312/655739
第768道答案: 2’2477819/7792460
第769道答案: 3’18006457/24350149
第770道答案: 270613757/318282938
第771道答案: 2’17830321/19411977
第772道答案: 13’232641/499468
第773道答案: 1’19143/33215
第774道答案: 23’98743/832374
第775道答案: 2’93500091/381323252
第776道答案: 2’337717643/838111367
第777道答案: 7105271/19493110
第778道答案: 1358017/6665032
第779道答案: 880/3519
第780道答案: 6’23381/33866
第781道答案: 478/635
第782道答案: 1’25790/737557
第783道答案: 1030/6923
第784道答案: 1’53442876/89076013
第785道答案: 1’590032/13100373
第786道答案: 1’597367/10480140
第787道答案: 12’13172647/33385620
第788道答案: 1’975224/2480225
第789道答案: 28857821/63749334
第790道答案: 751985/2219112
第791道答案: 10’46197/55388
第792道答案: 1’62204/191487
第793道答案: 2’4826/9541
第794道答案: 25’711/1568
第795道答案: 504968693/585824871
第796道答案: 1350627139/1593608870
第797道答案: 2’17524/88605
第798道答案: 6’12414272/59671399
第799道答案: 3’1388102/6343281
第800道答案: 2’1388/304085
第801道答案: 15397/24104
第802道答案: 3’8481497/9401301
第803道答案: 1’163927/405240
第804道答案: 2’43987/163836
第805道答案: 1’105211/149614
第806道答案: 3’722709/2387849
第807道答案: 1’34591/41796
第808道答案: 517/3108
第809道答案: 19164248/48365625
第810道答案: 1’381569/564080
第811道答案: 28’10207/12815
第812道答案: 351531/438608
第813道答案: 1’11902695/16188964
第814道答案: 2’18344726/50838375
第815道答案: 37’606993/1242751
第816道答案: 5291/5559
第817道答案: 4’22869103/100827503
第818道答案: 1784908757/1956636868
第819道答案: 23651/51282
第820道答案: 1’127451/203524
第821道答案: 1’19931/43989
第822道答案: 4’1349/1980
第823道答案: 3’3071/9165
第824道答案: 5669487/11501812
第825道答案: 3168627/11078780
第826道答案: 7’13295/32824
第827道答案: 2’27359/173693
第828道答案: 1’49744/63771
第829道答案: 141441/164390
第830道答案: 2850/3043
第831道答案: 95409880/146953599
第832道答案: 2’22758563/674827701
第833道答案: 1’476866934/1288765725
第834道答案: 1’522877/718648
第835道答案: 430’1530219/1991279
第836道答案: 4’385124/861175
第837道答案: 5’49747/180264
第838道答案: 3246773/3850200
第839道答案: 34’21/34
第840道答案: 10’12659/32007
第841道答案: 39879/60835
第842道答案: 197968231/307721700
第843道答案: 705106120/953022307
第844道答案: 3’40901/80475
第845道答案: 4’7201/10105
第846道答案: 1’353345/391359
第847道答案: 1’2230697/21709598
第848道答案: 161267067/774281056
第849道答案: 65455104/65532943
第850道答案: 1’12361/21255
第851道答案: 2449273/2657902
第852道答案: 74/2223
第853道答案: 3’6343439/14719578
第854道答案: 322670713/329274334
第855道答案: 11/43
第856道答案: 29’4789/4940
第857道答案: 1’136667/507873
第858道答案: 1’37384/41855
第859道答案: 120587/190528
第860道答案: 26980201/489958840
第861道答案: 52096/115413
第862道答案: 4’69849217/114770046
第863道答案: 1661922/7924685
第864道答案: 2’42579531/78942740
第865道答案: 1’5120000/6733809
第866道答案: 1952/6407
第867道答案: 623647547/1257405180
第868道答案: 2’37229/103748
第869道答案: 1’74351/116337
第870道答案: 1475302/3052077
第871道答案: 37485/160822
第872道答案: 122301/260176
第873道答案: 3’15743/41310
第874道答案: 4’1631/1656
第875道答案: 95’43822/106731
第876道答案: 391039/507370
第877道答案: 194314367/1236948680
第878道答案: 740153121/842925646
第879道答案: 1’7245529/16480980
第880道答案: 3’44930785/442215886
第881道答案: 2661/21442
第882道答案: 11’12452/20333
第883道答案: 297058673/875800406
第884道答案: 2’29399/71110
第885道答案: 2025/1413632
第886道答案: 115878/127303
第887道答案: 2’1023/1952
第888道答案: 251009442/875465069
第889道答案: 1254/4319
第890道答案: 8111951/9519560
第891道答案: 6’25251/53293
第892道答案: 215’259/710
第893道答案: 1’127864/129861
第894道答案: 452861640/636011213
第895道答案: 1396975/19052418
第896道答案: 1’105573679/136788375
第897道答案: 4’36030721/41931717
第898道答案: 2’4495559/4496127
第899道答案: 50’8253761/36169432
第900道答案: 1’32656433/49457555
第901道答案: 3’22309/23885
第902道答案: 135’200/301
第903道答案: 52353/103249
第904道答案: 1’468695015/995153904
第905道答案: 2’664388/4058775
第906道答案: 966681137/1280860640
第907道答案: 3’21495529/70255920
第908道答案: 3530881/22103760
第909道答案: 3’3214973/13308880
第910道答案: 40545/104638
第911道答案: 17820/19817
第912道答案: 411090/736267
第913道答案: 3’218107/405888
第914道答案: 17’11342/36261
第915道答案: 6’9321487/11226496
第916道答案: 299647529/374132928
第917道答案: 4’673/2520
第918道答案: 2177/59400
第919道答案: 8’7948279/19465990
第920道答案: 1’2059/5994
第921道答案: 1’521/630
第922道答案: 16’10025299/88602416
第923道答案: 14369834/20609757
第924道答案: 1415515987/1701901773
第925道答案: 3’25/231
第926道答案: 1’156273101/264990690
第927道答案: 17’116903/121541
第928道答案: 11’8101/15152
第929道答案: 154331/316274
第930道答案: 2113122736/2116018073
第931道答案: 1’344200877/417062168
第932道答案: 6’9261683/99443158
第933道答案: 2’38531/189655
第934道答案: 5’1126551/1362154
第935道答案: 2’1182/78521
